resume_text,category
"Name: Candidate 7631 Role: Web Developer Professional Summary: Motivated and detail-oriented Web Developer with hands-on experience in software projects and problem solving. Skilled in Next.js, CSS, MongoDB, Bootstrap and passionate about building impactful solutions. Skills: Next.js, CSS, MongoDB, Bootstrap, Node.js, MySQL, JavaScript Projects: - built a full stack blog platform - created a portfolio website with animations Experience: - Tested, debugged, and deployed production-ready applications. - Tested, debugged, and deployed production-ready applications. Education: Bachelor of Science in Computer Science",Web Development
"Name: Candidate 2014 Role: Cloud Engineer Professional Summary: Motivated and detail-oriented Cloud Engineer with hands-on experience in software projects and problem solving. Skilled in Kubernetes, Terraform, Monitoring, Grafana and passionate about building impactful solutions. Skills: Kubernetes, Terraform, Monitoring, Grafana, Linux, GitHub Actions, Ansible Projects: - automated CI/CD pipelines for deployment - containerized applications using Docker Experience: - Built scalable solutions and maintained clean code practices. - Worked on real-world projects and collaborated with cross-functional teams. Education: Bachelor of Science in Computer Science",DevOps
"Name: Candidate 7302 Role: Software Engineer Professional Summary: Motivated and detail-oriented Software Engineer with hands-on experience in software projects and problem solving. Skilled in Docker, JUnit, MySQL, REST API and passionate about building impactful solutions. Skills: Docker, JUnit, MySQL, REST API, Gradle, Hibernate, OOP Projects: - built RESTful services using Spring Boot - optimized database queries for performance Experience: - Built scalable solutions and maintained clean code practices. - Built scalable solutions and maintained clean code practices. Education: Diploma in Software Engineering",Java Developer
"Name: Candidate 1749 Role: Software Engineer Professional Summary: Motivated and detail-oriented Software Engineer with hands-on experience in software projects and problem solving. Skilled in Git, JPA, PostgreSQL, Microservices and passionate about building impactful solutions. Skills: Git, JPA, PostgreSQL, Microservices, Gradle, OOP, REST API Projects: - built RESTful services using Spring Boot - developed enterprise backend applications Experience: - Worked on real-world projects and collaborated with cross-functional teams. - Participated in agile development and version control workflows. Education: Master of Computer Applications",Java Developer
"Name: Candidate 2127 Role: Web Developer Professional Summary: Motivated and detail-oriented Web Developer with hands-on experience in software projects and problem solving. Skilled in JavaScript, React, MongoDB, Bootstrap and passionate about building impactful solutions. Skills: JavaScript, React, MongoDB, Bootstrap, Next.js, Git, Tailwind CSS Projects: - integrated payment gateway into a web application - created a portfolio website with animations Experience: - Participated in agile development and version control workflows. - Built scalable solutions and maintained clean code practices. Education: Bachelor of Engineering in Information Technology",Web Development
"Name: Candidate 4479 Role: Android Developer Professional Summary: Motivated and detail-oriented Android Developer with hands-on experience in software projects and problem solving. Skilled in REST API, Android Studio, Kotlin, SQLite and passionate about building impactful solutions. Skills: REST API, Android Studio, Kotlin, SQLite, Material Design, XML, Room Database Projects: - created a food delivery mobile app - developed a chat application using Firebase Experience: - Tested, debugged, and deployed production-ready applications. - Participated in agile development and version control workflows. Education: Bachelor of Engineering in Information Technology",Android Development
"Name: Candidate 6254 Role: Android Developer Professional Summary: Motivated and detail-oriented Android Developer with hands-on experience in software projects and problem solving. Skilled in XML, Kotlin, Firebase, Room Database and passionate about building impactful solutions. Skills: XML, Kotlin, Firebase, Room Database, SQLite, REST API, Java Projects: - integrated REST APIs into Android applications - implemented offline storage with Room database Experience: - Participated in agile development and version control workflows. - Improved application performance and user experience through optimization. Education: Master of Computer Applications",Android Development
"Name: Candidate 2989 Role: Data Analyst Professional Summary: Motivated and detail-oriented Data Analyst with hands-on experience in software projects and problem solving. Skilled in Data Analysis, Seaborn, PyTorch, Statistics and passionate about building impactful solutions. Skills: Data Analysis, Seaborn, PyTorch, Statistics, NLP, Python, Scikit-learn Projects: - developed an NLP-based sentiment analysis system - created a sales forecasting dashboard Experience: - Built scalable solutions and maintained clean code practices. - Built scalable solutions and maintained clean code practices. Education: Master of Computer Applications",Data Science
"Name: Candidate 5990 Role: Frontend Developer Professional Summary: Motivated and detail-oriented Frontend Developer with hands-on experience in software projects and problem solving. Skilled in MySQL, Git, Tailwind CSS, HTML and passionate about building impactful solutions. Skills: MySQL, Git, Tailwind CSS, HTML, CSS, MongoDB, Bootstrap Projects: - developed a responsive e-commerce website - integrated payment gateway into a web application Experience: - Tested, debugged, and deployed production-ready applications. - Tested, debugged, and deployed production-ready applications. Education: Bachelor of Technology in Computer Science",Web Development
"Name: Candidate 5606 Role: Backend Engineer Professional Summary: Motivated and detail-oriented Backend Engineer with hands-on experience in software projects and problem solving. Skilled in Hibernate, Git, JUnit, Java and passionate about building impactful solutions. Skills: Hibernate, Git, JUnit, Java, Spring Boot, Microservices, PostgreSQL Projects: - built RESTful services using Spring Boot - implemented authentication and authorization modules Experience: - Improved application performance and user experience through optimization. - Worked on real-world projects and collaborated with cross-functional teams. Education: Bachelor of Technology in Computer Science",Java Developer
"Name: Candidate 5933 Role: UI Designer Professional Summary: Motivated and detail-oriented UI Designer with hands-on experience in software projects and problem solving. Skilled in Prototyping, Photoshop, Adobe XD, Responsive Design and passionate about building impactful solutions. Skills: Prototyping, Photoshop, Adobe XD, Responsive Design, Usability Testing, Wireframing, User Research Projects: - designed mobile app user interfaces - created wireframes and interactive prototypes Experience: - Participated in agile development and version control workflows. - Improved application performance and user experience through optimization. Education: Bachelor of Engineering in Information Technology",UI/UX Designer
"Name: Candidate 6375 Role: Data Analyst Professional Summary: Motivated and detail-oriented Data Analyst with hands-on experience in software projects and problem solving. Skilled in Python, Scikit-learn, TensorFlow, Data Analysis and passionate about building impactful solutions. Skills: Python, Scikit-learn, TensorFlow, Data Analysis, Computer Vision, Statistics, NLP Projects: - developed an NLP-based sentiment analysis system - created a sales forecasting dashboard Experience: - Participated in agile development and version control workflows. - Participated in agile development and version control workflows. Education: Bachelor of Engineering in Information Technology",Data Science
"Name: Candidate 6248 Role: UX Designer Professional Summary: Motivated and detail-oriented UX Designer with hands-on experience in software projects and problem solving. Skilled in Figma, Interaction Design, Responsive Design, Adobe XD and passionate about building impactful solutions. Skills: Figma, Interaction Design, Responsive Design, Adobe XD, Visual Design, Design Systems, Usability Testing Projects: - conducted user research and usability testing - built a scalable design system Experience: - Improved application performance and user experience through optimization. - Participated in agile development and version control workflows. Education: Diploma in Software Engineering",UI/UX Designer
"Name: Candidate 6918 Role: Web Developer Professional Summary: Motivated and detail-oriented Web Developer with hands-on experience in software projects and problem solving. Skilled in Express.js, HTML, React, MySQL and passionate about building impactful solutions. Skills: Express.js, HTML, React, MySQL, Frontend Development, CSS, Node.js Projects: - created a portfolio website with animations - built a full stack blog platform Experience: - Improved application performance and user experience through optimization. - Tested, debugged, and deployed production-ready applications. Education: Bachelor of Technology in Computer Science",Web Development
"Name: Candidate 9216 Role: Site Reliability Engineer Professional Summary: Motivated and detail-oriented Site Reliability Engineer with hands-on experience in software projects and problem solving. Skilled in Grafana, Jenkins, Linux, Prometheus and passionate about building impactful solutions. Skills: Grafana, Jenkins, Linux, Prometheus, Shell Scripting, GitHub Actions, Ansible Projects: - automated CI/CD pipelines for deployment - provisioned cloud infrastructure using Terraform Experience: - Tested, debugged, and deployed production-ready applications. - Worked on real-world projects and collaborated with cross-functional teams. Education: Bachelor of Technology in Computer Science",DevOps
"Name: Candidate 8391 Role: Full Stack Developer Professional Summary: Motivated and detail-oriented Full Stack Developer with hands-on experience in software projects and problem solving. Skilled in HTML, CSS, Backend Development, Next.js and passionate about building impactful solutions. Skills: HTML, CSS, Backend Development, Next.js, JavaScript, Node.js, REST API Projects: - developed a responsive e-commerce website - built a full stack blog platform Experience: - Built scalable solutions and maintained clean code practices. - Built scalable solutions and maintained clean code practices. Education: Master of Computer Applications",Web Development
"Name: Candidate 3395 Role: Full Stack Developer Professional Summary: Motivated and detail-oriented Full Stack Developer with hands-on experience in software projects and problem solving. Skilled in REST API, HTML, Tailwind CSS, React and passionate about building impactful solutions. Skills: REST API, HTML, Tailwind CSS, React, Bootstrap, JavaScript, Next.js Projects: - built a full stack blog platform - designed a REST API for user authentication Experience: - Improved application performance and user experience through optimization. - Tested, debugged, and deployed production-ready applications. Education: Bachelor of Engineering in Information Technology",Web Development
"Name: Candidate 2188 Role: Data Analyst Professional Summary: Motivated and detail-oriented Data Analyst with hands-on experience in software projects and problem solving. Skilled in Computer Vision, Machine Learning, Scikit-learn, Statistics and passionate about building impactful solutions. Skills: Computer Vision, Machine Learning, Scikit-learn, Statistics, Deep Learning, Seaborn, NLP Projects: - trained an image classification model - created a sales forecasting dashboard Experience: - Built scalable solutions and maintained clean code practices. - Participated in agile development and version control workflows. Education: Master of Computer Applications",Data Science
"Name: Candidate 7232 Role: AI Engineer Professional Summary: Motivated and detail-oriented AI Engineer with hands-on experience in software projects and problem solving. Skilled in TensorFlow, Deep Learning, SQL, PyTorch and passionate about building impactful solutions. Skills: TensorFlow, Deep Learning, SQL, PyTorch, Computer Vision, Python, Scikit-learn Projects: - trained an image classification model - analyzed large datasets to generate business insights Experience: - Worked on real-world projects and collaborated with cross-functional teams. - Tested, debugged, and deployed production-ready applications. Education: Diploma in Software Engineering",Data Science
"Name: Candidate 6081 Role: Backend Developer Professional Summary: Motivated and detail-oriented Backend Developer with hands-on experience in software projects and problem solving. Skilled in Node.js, CSS, Next.js, Backend Development and passionate about building impactful solutions. Skills: Node.js, CSS, Next.js, Backend Development, REST API, React, JavaScript Projects: - integrated payment gateway into a web application - created a portfolio website with animations Experience: - Tested, debugged, and deployed production-ready applications. - Worked on real-world projects and collaborated with cross-functional teams. Education: Bachelor of Science in Computer Science",Web Development
"Name: Candidate 6528 Role: Software Engineer Professional Summary: Motivated and detail-oriented Software Engineer with hands-on experience in software projects and problem solving. Skilled in JPA, JUnit, Docker, Java and passionate about building impactful solutions. Skills: JPA, JUnit, Docker, Java, Hibernate, Microservices, REST API Projects: - designed microservices for scalable systems - built RESTful services using Spring Boot Experience: - Tested, debugged, and deployed production-ready applications. - Built scalable solutions and maintained clean code practices. Education: Bachelor of Technology in Computer Science",Java Developer
"Name: Candidate 1645 Role: Product Designer Professional Summary: Motivated and detail-oriented Product Designer with hands-on experience in software projects and problem solving. Skilled in Responsive Design, Usability Testing, Wireframing, Visual Design and passionate about building impactful solutions. Skills: Responsive Design, Usability Testing, Wireframing, Visual Design, Interaction Design, Design Systems, Illustrator Projects: - created wireframes and interactive prototypes - designed mobile app user interfaces Experience: - Built scalable solutions and maintained clean code practices. - Worked on real-world projects and collaborated with cross-functional teams. Education: Bachelor of Engineering in Information Technology",UI/UX Designer
"Name: Candidate 5155 Role: Frontend Developer Professional Summary: Motivated and detail-oriented Frontend Developer with hands-on experience in software projects and problem solving. Skilled in REST API, HTML, MongoDB, Tailwind CSS and passionate about building impactful solutions. Skills: REST API, HTML, MongoDB, Tailwind CSS, React, Express.js, Frontend Development Projects: - created a portfolio website with animations - developed a responsive e-commerce website Experience: - Built scalable solutions and maintained clean code practices. - Tested, debugged, and deployed production-ready applications. Education: Bachelor of Engineering in Information Technology",Web Development
"Name: Candidate 5890 Role: AI Engineer Professional Summary: Motivated and detail-oriented AI Engineer with hands-on experience in software projects and problem solving. Skilled in Deep Learning, NumPy, PyTorch, SQL and passionate about building impactful solutions. Skills: Deep Learning, NumPy, PyTorch, SQL, Computer Vision, Matplotlib, Statistics Projects: - developed an NLP-based sentiment analysis system - trained an image classification model Experience: - Improved application performance and user experience through optimization. - Participated in agile development and version control workflows. Education: Bachelor of Engineering in Information Technology",Data Science
"Name: Candidate 7178 Role: Product Designer Professional Summary: Motivated and detail-oriented Product Designer with hands-on experience in software projects and problem solving. Skilled in Photoshop, User Research, Usability Testing, Illustrator and passionate about building impactful solutions. Skills: Photoshop, User Research, Usability Testing, Illustrator, Prototyping, Design Systems, Responsive Design Projects: - conducted user research and usability testing - built a scalable design system Experience: - Built scalable solutions and maintained clean code practices. - Built scalable solutions and maintained clean code practices. Education: Bachelor of Technology in Computer Science",UI/UX Designer
"Name: Candidate 7251 Role: Web Developer Professional Summary: Motivated and detail-oriented Web Developer with hands-on experience in software projects and problem solving. Skilled in CSS, Bootstrap, Tailwind CSS, Git and passionate about building impactful solutions. Skills: CSS, Bootstrap, Tailwind CSS, Git, REST API, React, Frontend Development Projects: - designed a REST API for user authentication - built a full stack blog platform Experience: - Participated in agile development and version control workflows. - Worked on real-world projects and collaborated with cross-functional teams. Education: Diploma in Software Engineering",Web Development
"Name: Candidate 4251 Role: Site Reliability Engineer Professional Summary: Motivated and detail-oriented Site Reliability Engineer with hands-on experience in software projects and problem solving. Skilled in Shell Scripting, Grafana, AWS, CI/CD and passionate about building impactful solutions. Skills: Shell Scripting, Grafana, AWS, CI/CD, Nginx, Docker, Jenkins Projects: - provisioned cloud infrastructure using Terraform - containerized applications using Docker Experience: - Tested, debugged, and deployed production-ready applications. - Tested, debugged, and deployed production-ready applications. Education: Master of Computer Applications",DevOps
"Name: Candidate 1385 Role: UI Designer Professional Summary: Motivated and detail-oriented UI Designer with hands-on experience in software projects and problem solving. Skilled in Wireframing, Visual Design, Design Systems, Responsive Design and passionate about building impactful solutions. Skills: Wireframing, Visual Design, Design Systems, Responsive Design, Usability Testing, Interaction Design, Photoshop Projects: - built a scalable design system - designed mobile app user interfaces Experience: - Participated in agile development and version control workflows. - Built scalable solutions and maintained clean code practices. Education: Diploma in Software Engineering",UI/UX Designer
"Name: Candidate 6853 Role: Product Designer Professional Summary: Motivated and detail-oriented Product Designer with hands-on experience in software projects and problem solving. Skilled in User Research, Wireframing, Illustrator, Design Systems and passionate about building impactful solutions. Skills: User Research, Wireframing, Illustrator, Design Systems, Usability Testing, Figma, Prototyping Projects: - conducted user research and usability testing - redesigned website flows to improve user experience Experience: - Tested, debugged, and deployed production-ready applications. - Worked on real-world projects and collaborated with cross-functional teams. Education: Bachelor of Technology in Computer Science",UI/UX Designer
